genome_name	motility_number	prediction	motile/non-motile/partial
Leeuwenhoekiella_marinoflava	2	No	Non-Motile
Leeuwenhoekiella_nanhaiensis	2	No	Non-Motile
Leeuwenhoekiella_palythoae	2	No	Non-Motile
Leeuwenhoekiella_polynyae	2	No	Non-Motile
Leeuwenhoekiella_sp.	2	No	Non-Motile
Legionella_adelaidensis	0	No	Non-Motile
Legionella_anisa	22	Yes	Motile
Legionella_beliardensis	1	No	Non-Motile
Legionella_birminghamensis	23	Yes	Motile
Legionella_brunensis	22	Yes	Motile
Legionella_busanensis	1	No	Non-Motile
Legionellaceae_bacterium	4	No	Non-Motile
Legionella_cherrii	22	Yes	Motile
Legionella_cincinnatiensis	0	No	Non-Motile
Legionella_clemsonensis	22	Yes	Motile
Legionella_donaldsonii	22	Yes	Motile
Legionella_drancourtii	23	Yes	Motile
Legionella_drozanskii	23	Yes	Motile
Legionella_endosymbiont	0	No	Non-Motile
Legionella_erythra	22	Yes	Motile
Legionella_fairfieldensis	23	Yes	Motile
Legionella_fallonii	0	No	Non-Motile
Legionella_feeleii	22	Yes	Motile
Legionella_geestiana	20	Yes	Motile
Legionella_gratiana	2	No	Non-Motile
Legionella_gresilensis	1	No	Non-Motile
Legionella_hackeliae	22	Yes	Motile
Legionella_impletisoli	1	No	Non-Motile
Legionella_israelensis	14	Maybe	Possibly Motile
Legionella_jamestowniensis	22	Yes	Motile
Legionella_jordanis	22	Yes	Motile
Legionella_lansingensis	0	No	Non-Motile
Legionellales_bacterium	0	No	Non-Motile
Legionella_londiniensis	1	No	Non-Motile
Legionella_longbeachae	0	No	Non-Motile
Legionella_maceachernii	14	Maybe	Possibly Motile
Legionella_massiliensis	23	Yes	Motile
Legionella_moravica	23	Yes	Motile
Legionella_nagasakiensis	19	Yes	Motile
Legionella_nautarum	23	Yes	Motile
Legionella_norrlandica	23	Yes	Motile
Legionella_oakridgensis	0	No	Non-Motile
Legionella_parisiensis	22	Yes	Motile
Legionella_pneumophila	22	Yes	Motile
Legionella_quateirensis	23	Yes	Motile
Legionella_quinlivanii	23	Yes	Motile
Legionella_rowbothamii	22	Yes	Motile
Legionella_rubrilucens	22	Yes	Motile
Legionella_sainthelensi	0	No	Non-Motile
Legionella_santicrucis	0	No	Non-Motile
Legionella_shakespearei	22	Yes	Motile
Legionella_sp.	0	No	Non-Motile
Legionella_spiritensis	22	Yes	Motile
Legionella_steelei	22	Yes	Motile
Legionella_steigerwaltii	22	Yes	Motile
Legionella_taurinensis	22	Yes	Motile
Legionella_tucsonensis	22	Yes	Motile
Legionella_wadsworthii	1	No	Non-Motile
Legionella_waltersii	22	Yes	Motile
Legionella_worsleiensis	23	Yes	Motile
Legionella_yabuuchiae	2	No	Non-Motile
Leifsonia_aquatica	23	Yes	Motile
Leifsonia_flava	22	Yes	Motile
Leifsonia_naganoensis	23	Yes	Motile
Leifsonia_pindariensis	22	Yes	Motile
Leifsonia_poae	23	Yes	Motile
Leifsonia_psychrotolerans	23	Yes	Motile
Leifsonia_rubra	0	No	Non-Motile
Leifsonia_shinshuensis	23	Yes	Motile
Leifsonia_soli	23	Yes	Motile
Leifsonia_sp.	23	Yes	Motile
Leifsonia_xyli	0	No	Non-Motile
Leisingera_aquaemixtae	19	Yes	Motile
Leisingera_aquimarina	18	Maybe	Possibly Motile
Leisingera_daeponensis	18	Maybe	Possibly Motile
Leisingera_methylohalidivorans	18	Maybe	Possibly Motile
Leisingera_nanhaiensis	18	Maybe	Possibly Motile
Leisingera_sp.	18	Maybe	Possibly Motile
Lelliottia_amnigena	21	Yes	Motile
Lelliottia_aquatilis	21	Yes	Motile
Lelliottia_nimipressuralis	21	Yes	Motile
Lelliottia_sp.	21	Yes	Motile
Leminorella_grimontii	19	Yes	Motile
Leminorella_richardii	1	No	Non-Motile
Lentibacillus_amyloliquefaciens	0	No	Non-Motile
Lentibacillus_halodurans	25	Yes	Motile
Lentibacillus_juripiscarius	7	Maybe	Possibly Motile
Lentibacillus_kapialis	0	No	Non-Motile
Lentibacillus_persicus	25	Yes	Motile
Lentibacillus_populi	25	Yes	Motile
Lentibacillus_salicampi	25	Yes	Motile
Lentibacillus_saliphilus	25	Yes	Motile
Lentibacillus_sediminis	25	Yes	Motile
Lentibacillus_sp.	25	Yes	Motile
Lentibacter_algarum	16	Maybe	Possibly Motile
Lentibacter_sp.	17	Maybe	Possibly Motile
Lentilactobacillus_otakiensis	0	No	Non-Motile
Lentilactobacillus_sp.	0	No	Non-Motile
Lentilitoribacter_sp.	18	Maybe	Possibly Motile
Lentimicrobiaceae_bacterium	1	No	Non-Motile
Lentimicrobium_saccharophilum	1	No	Non-Motile
Lentimicrobium_sp.	1	No	Non-Motile
Lentimonas_sp.	0	No	Non-Motile
Lentisphaera_araneosa	2	No	Non-Motile
Lentisphaeraceae_bacterium	23	Yes	Motile
Lentisphaerae_bacterium	1	No	Non-Motile
Lentisphaerales_bacterium	1	No	Non-Motile
Lentisphaeria_bacterium	0	No	Non-Motile
Lentzea_albida	0	No	Non-Motile
Lentzea_albidocapillata	0	No	Non-Motile
Lentzea_cavernae	0	No	Non-Motile
Lentzea_flaviverrucosa	0	No	Non-Motile
Lentzea_jiangxiensis	0	No	Non-Motile
Lentzea_kentuckyensis	0	No	Non-Motile
Lentzea_nigeriaca	0	No	Non-Motile
Lentzea_pudingi	0	No	Non-Motile
Lentzea_sp.	0	No	Non-Motile
Lentzea_violacea	0	No	Non-Motile
Lentzea_waywayandensis	0	No	Non-Motile
Leptobacterium_flavescens	2	No	Non-Motile
Leptolinea_sp.	24	Yes	Motile
Leptolinea_tardivitalis	23	Yes	Motile
Leptolyngbya_antarctica	0	No	Non-Motile
Leptolyngbyaceae_cyanobacterium	0	No	Non-Motile
Leptolyngbya_cf.	1	No	Non-Motile
Leptolyngbya_foveolarum	0	No	Non-Motile
Leptolyngbya_frigida	0	No	Non-Motile
Leptolyngbya_ohadii	0	No	Non-Motile
Leptolyngbya_sp.	18	Maybe	Possibly Motile
Leptolyngbya_valderiana	22	Yes	Motile
Leptonema_illini	23	Yes	Motile
Leptonema_sp.	21	Yes	Motile
Leptospira_adleri	23	Yes	Motile
Leptospira_alexanderi	24	Yes	Motile
Leptospira_alstoni	13	Maybe	Possibly Motile
Leptospira_alstonii	24	Yes	Motile
Leptospira_andrefontaineae	24	Yes	Motile
Leptospira_bandrabouensis	24	Yes	Motile
Leptospira_barantonii	24	Yes	Motile
Leptospira_biflexa	24	Yes	Motile
Leptospira_borgpetersenii	24	Yes	Motile
Leptospira_bourretii	24	Yes	Motile
Leptospira_bouyouniensis	24	Yes	Motile
Leptospira_brenneri	24	Yes	Motile
Leptospira_broomii	23	Yes	Motile
Leptospiraceae_bacterium	24	Yes	Motile
Leptospira_congkakensis	24	Yes	Motile
Leptospira_dzianensis	24	Yes	Motile
Leptospira_dzoumogneensis	24	Yes	Motile
Leptospira_fainei	23	Yes	Motile
Leptospira_fletcheri	23	Yes	Motile
Leptospira_fluminis	23	Yes	Motile
Leptospira_gomenensis	24	Yes	Motile
Leptospira_idonii	24	Yes	Motile
Leptospira_ilyithenensis	24	Yes	Motile
Leptospira_inadai	24	Yes	Motile
Leptospira_interrogans	24	Yes	Motile
Leptospira_jelokensis	24	Yes	Motile
Leptospira_kanakyensis	24	Yes	Motile
Leptospira_kemamanensis	24	Yes	Motile
Leptospira_kirschneri	23	Yes	Motile
Leptospira_kmetyi	24	Yes	Motile
Leptospira_koniamboensis	24	Yes	Motile
Leptospira_langatensis	24	Yes	Motile
Leptospirales_bacterium	20	Yes	Motile
Leptospira_levettii	24	Yes	Motile
Leptospira_licerasiae	24	Yes	Motile
Leptospira_mayottensis	24	Yes	Motile
Leptospira_meyeri	24	Yes	Motile
Leptospira_montravelensis	24	Yes	Motile
Leptospira_mtsangambouensis	24	Yes	Motile
Leptospira_noguchii	23	Yes	Motile
Leptospira_noumeaensis	24	Yes	Motile
Leptospira_ognonensis	24	Yes	Motile
Leptospira_perdikensis	24	Yes	Motile
Leptospira_putramalaysiae	24	Yes	Motile
Leptospira_santarosai	24	Yes	Motile
Leptospira_sarikeiensis	24	Yes	Motile
Leptospira_selangorensis	24	Yes	Motile
Leptospira_semungkisensis	24	Yes	Motile
Leptospira_sp.	24	Yes	Motile
Leptospira_terpstrae	24	Yes	Motile
Leptospira_vanthielii	13	Maybe	Possibly Motile
Leptospira_weilii	24	Yes	Motile
Leptospira_wolbachii	22	Yes	Motile
Leptospira_wolffii	24	Yes	Motile
Leptospira_yanagawae	23	Yes	Motile
Leptospirillum_ferriphilum	23	Yes	Motile
Leptospirillum_ferrooxidans	23	Yes	Motile
Leptospirillum_sp.	23	Yes	Motile
Leptothoe_kymatousa	0	No	Non-Motile
Leptothoe_spongobia	1	No	Non-Motile
Leptothrix_cholodnii	21	Yes	Motile
Leptothrix_mobilis	21	Yes	Motile
Leptothrix_ochracea	0	No	Non-Motile
Leptothrix_sp.	21	Yes	Motile
Leptotrichia_buccalis	1	No	Non-Motile
Leptotrichiaceae_bacterium	0	No	Non-Motile
Leptotrichia_goodfellowii	1	No	Non-Motile
Leptotrichia_hofstadii	1	No	Non-Motile
Leptotrichia_hongkongensis	1	No	Non-Motile
Leptotrichia_massiliensis	1	No	Non-Motile
Leptotrichia_shahii	1	No	Non-Motile
Leptotrichia_sp.	1	No	Non-Motile
Leptotrichia_trevisanii	1	No	Non-Motile
Leptotrichia_wadei	1	No	Non-Motile
Leucobacter_aridicollis	0	No	Non-Motile
Leucobacter_chironomi	0	No	Non-Motile
Leucobacter_chromiireducens	0	No	Non-Motile
Leucobacter_chromiiresistens	0	No	Non-Motile
Leucobacter_denitrificans	0	No	Non-Motile
Leucobacter_exalbidus	0	No	Non-Motile
Leucobacter_komagatae	0	No	Non-Motile
Leucobacter_luti	0	No	Non-Motile
Leucobacter_massiliensis	0	No	Non-Motile
Leucobacter_ruminantium	0	No	Non-Motile
Leucobacter_salsicius	0	No	Non-Motile
Leucobacter_sp.	0	No	Non-Motile
Leucobacter_tardus	0	No	Non-Motile
Leucobacter_triazinivorans	0	No	Non-Motile
Leucobacter_weissii	0	No	Non-Motile
Leucobacter_zeae	0	No	Non-Motile
Leuconostocaceae_bacterium	0	No	Non-Motile
Leuconostoc_argentinum	0	No	Non-Motile
Leuconostoc_carnosum	0	No	Non-Motile
Leuconostoc_falkenbergense	0	No	Non-Motile
Leuconostoc_fallax	0	No	Non-Motile
Leuconostoc_garlicum	0	No	Non-Motile
Leuconostoc_gasicomitatum	0	No	Non-Motile
Leuconostoc_gelidum	0	No	Non-Motile
Leuconostoc_holzapfelii	0	No	Non-Motile
Leuconostoc_inhae	0	No	Non-Motile
Leuconostoc_kimchii	0	No	Non-Motile
Leuconostoc_lactis	0	No	Non-Motile
Leuconostoc_mesenteroides	0	No	Non-Motile
Leuconostoc_miyukkimchii	0	No	Non-Motile
Leuconostoc_palmae	0	No	Non-Motile
Leuconostoc_pseudomesenteroides	0	No	Non-Motile
Leuconostoc_rapi	0	No	Non-Motile
Leuconostoc_sp.	0	No	Non-Motile
Leucothrix_mucor	1	No	Non-Motile
Leucothrix_pacifica	1	No	Non-Motile
Leucothrix_sp.	1	No	Non-Motile
Levilactobacillus_hammesii	0	No	Non-Motile
Levilactobacillus_sp.	0	No	Non-Motile
Levilinea_saccharolytica	0	No	Non-Motile
Lewinella_agarilytica	1	No	Non-Motile
Lewinella_antarctica	1	No	Non-Motile
Lewinella_aquimaris	1	No	Non-Motile
Lewinellaceae_bacterium	2	No	Non-Motile
Lewinella_cohaerens	1	No	Non-Motile
Lewinella_lacunae	1	No	Non-Motile
Lewinella_marina	1	No	Non-Motile
Lewinella_nigricans	2	No	Non-Motile
Lewinella_persica	1	No	Non-Motile
Lewinella_sp.	1	No	Non-Motile
Lewinella_xylanilytica	1	No	Non-Motile
Liberibacter_crescens	17	Maybe	Possibly Motile
Liberibacter_sp.	16	Maybe	Possibly Motile
Lihuaxuella_thermophila	1	No	Non-Motile
Limibacillus_halophilus	1	No	Non-Motile
Limibaculum_sp.	19	Yes	Motile
Limimaricola_sp.	19	Yes	Motile
Limimaricola_variabilis	20	Yes	Motile
Limimonas_halophila	23	Yes	Motile
Limisphaera_ngatamarikiensis	22	Yes	Motile
Limnobacter_sp.	20	Yes	Motile
Limnobacter_thiooxidans	20	Yes	Motile
Limnobaculum_parvum	2	No	Non-Motile
Limnobaculum_sp.	2	No	Non-Motile
Limnochordaceae_bacterium	24	Yes	Motile
Limnochordales_bacterium	23	Yes	Motile
Limnochorda_pilosa	24	Yes	Motile
Limnochordia_bacterium	21	Yes	Motile
Limnohabitans_curvus	21	Yes	Motile
Limnohabitans_parvus	1	No	Non-Motile
Limnohabitans_planktonicus	21	Yes	Motile
Limnohabitans_sp.	21	Yes	Motile
Limnoraphis_robusta	0	No	Non-Motile
Limnospira_fusiformis	1	No	Non-Motile
Limnospira_sp.	1	No	Non-Motile
Limnothrix_rosea	0	No	Non-Motile
Limnothrix_sp.	0	No	Non-Motile
Limoniibacter_endophyticus	18	Maybe	Possibly Motile
Limosilactobacillus_agrestis	0	No	Non-Motile
Limosilactobacillus_albertensis	0	No	Non-Motile
Limosilactobacillus_balticus	0	No	Non-Motile
Limosilactobacillus_fastidiosus	0	No	Non-Motile
Limosilactobacillus_panis	0	No	Non-Motile
Limosilactobacillus_portuensis	0	No	Non-Motile
Limosilactobacillus_rudii	0	No	Non-Motile
Limosilactobacillus_sp.	0	No	Non-Motile
Lipingzhangella_halophila	1	No	Non-Motile
Liquorilactobacillus_satsumensis	22	Yes	Motile
Lishizhenia_sp.	2	No	Non-Motile
Lishizhenia_tianjinensis	1	No	Non-Motile
Listeria_aquatica	0	No	Non-Motile
Listeria_booriae	0	No	Non-Motile
Listeriaceae_bacterium	0	No	Non-Motile
Listeria_cossartiae	21	Yes	Motile
Listeria_fleischmannii	0	No	Non-Motile
Listeria_grandensis	0	No	Non-Motile
Listeria_grayi	21	Yes	Motile
Listeria_innocua	21	Yes	Motile
Listeria_ivanovii	17	Maybe	Possibly Motile
Listeria_kieliensis	0	No	Non-Motile
Listeria_marthii	21	Yes	Motile
Listeria_monocytogenes	21	Yes	Motile
Listeria_newyorkensis	0	No	Non-Motile
Listeria_rocourtiae	0	No	Non-Motile
Listeria_seeligeri	18	Maybe	Possibly Motile
Listeria_sp.	21	Yes	Motile
Listeria_thailandensis	0	No	Non-Motile
Listeria_weihenstephanensis	0	No	Non-Motile
Listeria_welshimeri	20	Yes	Motile
Listonella_anguillarum	21	Yes	Motile
Litoreibacter_albidus	17	Maybe	Possibly Motile
Litoreibacter_ascidiaceicola	15	Maybe	Possibly Motile
Litoreibacter_halocynthiae	17	Maybe	Possibly Motile
Litoreibacter_janthinus	8	Maybe	Possibly Motile
Litoreibacter_meonggei	16	Maybe	Possibly Motile
Litoreibacter_ponti	17	Maybe	Possibly Motile
Litoreibacter_sp.	17	Maybe	Possibly Motile
Litoribacter_alkaliphilus	1	No	Non-Motile
Litoribacter_ruber	1	No	Non-Motile
Litoribacter_sp.	1	No	Non-Motile
Litoricolaceae_bacterium	21	Yes	Motile
Litoricola_lipolytica	21	Yes	Motile
Litoricola_sp.	3	No	Non-Motile
Litorilinea_aerophila	2	No	Non-Motile
Litorilituus_sediminis	22	Yes	Motile
Litorilituus_sp.	22	Yes	Motile
Litorimicrobium_taeanense	17	Maybe	Possibly Motile
Litorimonas_cladophorae	0	No	Non-Motile
Litorimonas_taeanensis	18	Maybe	Possibly Motile
Litorivivens_lipolytica	22	Yes	Motile
Loigolactobacillus_coryniformis	0	No	Non-Motile
Lokiarchaeum_sp.	1	No	Non-Motile
Loktanella_atrilutea	20	Yes	Motile
Loktanella_cinnabarina	16	Maybe	Possibly Motile
Loktanella_fryxellensis	17	Maybe	Possibly Motile
Loktanella_hongkongensis	0	No	Non-Motile
Loktanella_maricola	18	Maybe	Possibly Motile
Loktanella_marina	20	Yes	Motile
Loktanella_maritima	16	Maybe	Possibly Motile
Loktanella_ponticola	16	Maybe	Possibly Motile
Loktanella_pyoseonensis	19	Yes	Motile
Loktanella_rosea	17	Maybe	Possibly Motile
Loktanella_salsilacus	20	Yes	Motile
Loktanella_sediminilitoris	17	Maybe	Possibly Motile
Loktanella_sediminum	1	No	Non-Motile
Loktanella_soesokkakensis	20	Yes	Motile
Loktanella_sp.	6	No	Non-Motile
Loktanella_vestfoldensis	16	Maybe	Possibly Motile
Lonepinella_koalarum	0	No	Non-Motile
Longibacter_salinarum	1	No	Non-Motile
Longibaculum_muris	1	No	Non-Motile
Longibaculum_sp.	0	No	Non-Motile
Longicatena_caecimuris	1	No	Non-Motile
Longicatena_sp.	0	No	Non-Motile
Longilinea_arvoryzae	0	No	Non-Motile
Longilinea_sp.	0	No	Non-Motile
Longimicrobium_terrae	2	No	Non-Motile
Longimonas_halophila	2	No	Non-Motile
Longimycelium_tulufanense	0	No	Non-Motile
Longispora_albida	0	No	Non-Motile
Longispora_fulva	0	No	Non-Motile
Longispora_sp.	0	No	Non-Motile
Lonsdalea_britannica	22	Yes	Motile
Lonsdalea_populi	22	Yes	Motile
Lonsdalea_quercina	22	Yes	Motile
Luminiphilus_sp.	0	No	Non-Motile
Luminiphilus_syltensis	1	No	Non-Motile
Lunatimonas_salinarum	1	No	Non-Motile
Lusitaniella_coriacea	0	No	Non-Motile
Luteibacter_anthropi	22	Yes	Motile
Luteibacter_jiangsuensis	22	Yes	Motile
Luteibacter_pinisoli	22	Yes	Motile
Luteibacter_rhizovicinus	22	Yes	Motile
Luteibacter_sp.	22	Yes	Motile
Luteibacter_yeojuensis	22	Yes	Motile
Luteibaculum_oceani	2	No	Non-Motile
Luteimicrobium_subarcticum	0	No	Non-Motile
Luteimicrobium_xylanilyticum	0	No	Non-Motile
Luteimonas_abyssi	22	Yes	Motile
Luteimonas_aestuarii	1	No	Non-Motile
Luteimonas_arsenica	7	Maybe	Possibly Motile
Luteimonas_cucumeris	22	Yes	Motile
Luteimonas_huabeiensis	22	Yes	Motile
Luteimonas_marina	6	No	Non-Motile
Luteimonas_mephitis	6	No	Non-Motile
Luteimonas_padinae	7	Maybe	Possibly Motile
Luteimonas_panaciterrae	6	No	Non-Motile
Luteimonas_sp.	22	Yes	Motile
Luteimonas_terrae	22	Yes	Motile
Luteimonas_terricola	8	Maybe	Possibly Motile
Luteimonas_tolerans	1	No	Non-Motile
Luteipulveratus_halotolerans	1	No	Non-Motile
Luteipulveratus_mongoliensis	1	No	Non-Motile
Luteitalea_pratensis	24	Yes	Motile
Luteitalea_sp.	1	No	Non-Motile
Luteivirga_sdotyamensis	21	Yes	Motile
Luteococcus_japonicus	1	No	Non-Motile
Luteolibacter_pohnpeiensis	0	No	Non-Motile
Luteolibacter_sp.	1	No	Non-Motile
Luteolibacter_yonseiensis	0	No	Non-Motile
Lutibacter_agarilyticus	1	No	Non-Motile
Lutibacter_flavus	1	No	Non-Motile
Lutibacter_litoralis	1	No	Non-Motile
Lutibacter_maritimus	2	No	Non-Motile
Lutibacter_oceani	1	No	Non-Motile
Lutibacter_oricola	2	No	Non-Motile
Lutibacter_profundi	1	No	Non-Motile
Lutibacter_sp.	1	No	Non-Motile
Lutimaribacter_litoralis	10	Maybe	Possibly Motile
Lutimaribacter_pacificus	19	Yes	Motile
Lutimaribacter_saemankumensis	6	No	Non-Motile
Lutimonas_saemankumensis	2	No	Non-Motile
Lutispora_thermophila	24	Yes	Motile
Lyngbya_aestuarii	0	No	Non-Motile
Lyngbya_confervoides	10	Maybe	Possibly Motile
Lyngbya_sp.	0	No	Non-Motile
Lysinibacillus_acetophenoni	25	Yes	Motile
Lysinibacillus_alkalisoli	25	Yes	Motile
Lysinibacillus_boronitolerans	25	Yes	Motile
Lysinibacillus_capsici	25	Yes	Motile
Lysinibacillus_chungkukjangi	25	Yes	Motile
Lysinibacillus_composti	25	Yes	Motile
Lysinibacillus_contaminans	25	Yes	Motile
Lysinibacillus_endophyticus	25	Yes	Motile
Lysinibacillus_fluoroglycofenilyticus	25	Yes	Motile
Lysinibacillus_fusiformis	25	Yes	Motile
Lysinibacillus_halotolerans	25	Yes	Motile
Lysinibacillus_jejuensis	25	Yes	Motile
Lysinibacillus_macroides	25	Yes	Motile
Lysinibacillus_manganicus	25	Yes	Motile
Lysinibacillus_mangiferihumi	25	Yes	Motile
Lysinibacillus_massiliensis	25	Yes	Motile
Lysinibacillus_meyeri	25	Yes	Motile
Lysinibacillus_odysseyi	25	Yes	Motile
Lysinibacillus_pakistanensis	24	Yes	Motile
Lysinibacillus_parviboronicapiens	25	Yes	Motile
Lysinibacillus_sinduriensis	25	Yes	Motile
Lysinibacillus_sp.	25	Yes	Motile
Lysinibacillus_sphaericus	0	No	Non-Motile
Lysinibacillus_tabacifolii	25	Yes	Motile
Lysinibacillus_telephonicus	25	Yes	Motile
Lysinibacillus_xylanilyticus	25	Yes	Motile
Lysinibacillus_xyleni	25	Yes	Motile
Lysinibacter_cavernae	0	No	Non-Motile
Lysinimicrobium_mangrovi	23	Yes	Motile
Lysinimicrobium_sp.	22	Yes	Motile
Lysinimonas_sp.	0	No	Non-Motile
Lysinimonas_yzui	0	No	Non-Motile
Lysobacter_aestuarii	1	No	Non-Motile
Lysobacter_antibioticus	6	No	Non-Motile
Lysobacter_arseniciresistens	22	Yes	Motile
Lysobacter_bugurensis	21	Yes	Motile
Lysobacter_capsici	14	Maybe	Possibly Motile
Lysobacter_caseinilyticus	1	No	Non-Motile
Lysobacter_concretionis	22	Yes	Motile
Lysobacter_daejeonensis	1	No	Non-Motile
Lysobacter_defluvii	21	Yes	Motile
Lysobacter_dokdonensis	1	No	Non-Motile
Lysobacter_enzymogenes	14	Maybe	Possibly Motile
Lysobacter_gummosus	14	Maybe	Possibly Motile
Lysobacter_helvus	1	No	Non-Motile
Lysobacter_lycopersici	1	No	Non-Motile
Lysobacter_maris	1	No	Non-Motile
Lysobacter_niastensis	22	Yes	Motile
Lysobacter_panacisoli	22	Yes	Motile
Lysobacter_ruishenii	22	Yes	Motile
Lysobacter_silvestris	1	No	Non-Motile
Lysobacter_soli	22	Yes	Motile
Lysobacter_sp.	21	Yes	Motile
Lysobacter_spongiae	1	No	Non-Motile
Lysobacter_spongiicola	21	Yes	Motile
Lysobacter_xinjiangensis	21	Yes	Motile
Mabikibacter_ruber	19	Yes	Motile
Macellibacteroides_fermentans	1	No	Non-Motile
Macellibacteroides_sp.	1	No	Non-Motile
Macrococcus_bohemicus	0	No	Non-Motile
Macrococcus_bovicus	0	No	Non-Motile
Macrococcus_brunensis	0	No	Non-Motile
Macrococcus_canis	0	No	Non-Motile
Macrococcus_carouselicus	0	No	Non-Motile
Macrococcus_caseolyticus	0	No	Non-Motile
Macrococcus_epidermidis	0	No	Non-Motile
Macrococcus_equipercicus	0	No	Non-Motile
Macrococcus_goetzii	0	No	Non-Motile
Macrococcus_hajekii	0	No	Non-Motile
Macrococcus_lamae	0	No	Non-Motile
Macrococcus_sp.	0	No	Non-Motile
Macromonas_bipunctata	22	Yes	Motile
Macromonas_sp.	22	Yes	Motile
Mageeibacillus_indolicus	0	No	Non-Motile
Mageeibacillus_sp.	0	No	Non-Motile
Magnetococcales_bacterium	22	Yes	Motile
Magnetofaba_australis	21	Yes	Motile
Magnetospira_sp.	0	No	Non-Motile
Magnetospirillum_aberrantis	21	Yes	Motile
Magnetospirillum_gryphiswaldense	21	Yes	Motile
Magnetospirillum_magneticum	19	Yes	Motile
Magnetospirillum_magnetotacticum	19	Yes	Motile
Magnetospirillum_marisnigri	20	Yes	Motile
Magnetospirillum_moscoviense	20	Yes	Motile
Magnetospirillum_sp.	20	Yes	Motile
Magnetovibrio_blakemorei	21	Yes	Motile
Magnetovibrio_sp.	17	Maybe	Possibly Motile
Mahella_australiensis	23	Yes	Motile
Mahella_sp.	23	Yes	Motile
Mailhella_sp.	18	Maybe	Possibly Motile
Maize_bushy	0	No	Non-Motile
Malacoplasma_sp.	0	No	Non-Motile
Maledivibacter_halophilus	24	Yes	Motile
Malikia_granosa	22	Yes	Motile
Malikia_spinosa	22	Yes	Motile
Maliponia_aquimaris	19	Yes	Motile
Malonomonas_rubra	24	Yes	Motile
Mameliella_sp.	18	Maybe	Possibly Motile
Mammaliicoccus_fleurettii	0	No	Non-Motile
Mammaliicoccus_lentus	0	No	Non-Motile
Mammaliicoccus_sciuri	0	No	Non-Motile
Mammaliicoccus_vitulinus	0	No	Non-Motile
Mangrovibacterium_diazotrophicum	1	No	Non-Motile
Mangrovibacterium_marinum	1	No	Non-Motile
Mangrovibacterium_sp.	1	No	Non-Motile
Mangrovibacter_phragmitis	22	Yes	Motile
Mangrovibacter_plantisponsor	22	Yes	Motile
Mangrovibacter_sp.	22	Yes	Motile
Mangrovibacter_yixingensis	22	Yes	Motile
Mangrovicoccus_sp.	13	Maybe	Possibly Motile
Mangrovicoccus_ximenensis	14	Maybe	Possibly Motile
Mangrovihabitans_endophyticus	22	Yes	Motile
Mangrovimonas_sp.	2	No	Non-Motile
Mangrovitalea_sediminis	22	Yes	Motile
Mannheimia_granulomatis	0	No	Non-Motile
Mannheimia_haemolytica	0	No	Non-Motile
Mannheimia_sp.	0	No	Non-Motile
Mannheimia_succiniciproducens	0	No	Non-Motile
Mannheimia_varigena	0	No	Non-Motile
Marasmitruncus_massiliensis	21	Yes	Motile
Maribacter_antarcticus	2	No	Non-Motile
Maribacter_aquivivus	2	No	Non-Motile
Maribacter_arcticus	2	No	Non-Motile
Maribacter_arenosus	2	No	Non-Motile
Maribacter_caenipelagi	2	No	Non-Motile
Maribacter_cobaltidurans	2	No	Non-Motile
Maribacter_dokdonensis	2	No	Non-Motile
Maribacter_flavus	8	Maybe	Possibly Motile
Maribacter_forsetii	2	No	Non-Motile
Maribacter_orientalis	2	No	Non-Motile
Maribacter_polysiphoniae	2	No	Non-Motile
Maribacter_sedimenticola	2	No	Non-Motile
Maribacter_sp.	2	No	Non-Motile
Maribacter_spongiicola	2	No	Non-Motile
Maribacter_stanieri	2	No	Non-Motile
Maribacter_thermophilus	2	No	Non-Motile
Maribacter_ulvicola	2	No	Non-Motile
Maribacter_vaceletii	2	No	Non-Motile
Maribellus_sp.	1	No	Non-Motile
Maribius_pelagius	21	Yes	Motile
Maribius_pontilimi	20	Yes	Motile
Maribius_salinus	20	Yes	Motile
Maribius_sp.	18	Maybe	Possibly Motile
Maricaulis_maris	20	Yes	Motile
Maricaulis_parjimensis	19	Yes	Motile
Maricaulis_salignorans	20	Yes	Motile
Maricaulis_sp.	20	Yes	Motile
Marichromatium_bheemlicum	22	Yes	Motile
Marichromatium_gracile	22	Yes	Motile
Marichromatium_purpuratum	22	Yes	Motile
Marichromatium_sp.	22	Yes	Motile
Marihabitans_asiaticum	1	No	Non-Motile
Marimonas_sp.	7	Maybe	Possibly Motile
Marinactinospora_thermotolerans	0	No	Non-Motile
Marinagarivorans_algicola	22	Yes	Motile
Marinagarivorans_sp.	21	Yes	Motile
Marinateneraspora_sediminis	1	No	Non-Motile
marine_actinobacterium	0	No	Non-Motile
marine_archaeum	0	No	Non-Motile
marine_bacterium	1	No	Non-Motile
marine_gamma	21	Yes	Motile
marine_group	0	No	Non-Motile
Marine_group	0	No	Non-Motile
Marine_Group	0	No	Non-Motile
Marinibacterium_profundimaris	19	Yes	Motile
Marinibacterium_sp.	21	Yes	Motile
Marinibactrum_halimedae	22	Yes	Motile
Mariniblastus_fucicola	22	Yes	Motile
Mariniblastus_sp.	20	Yes	Motile
Marinicauda_algicola	21	Yes	Motile
Marinicauda_pacifica	20	Yes	Motile
Marinicauda_sp.	20	Yes	Motile
Marinicaulis_flavus	18	Maybe	Possibly Motile
Marinicaulis_sp.	21	Yes	Motile
Marinicella_litoralis	1	No	Non-Motile
